sensor_id,ubicacion,tipo_via,timestamp,conteo_vehiculos,temperatura_c,condicion_clima,lat,lon,hora,geo_corregida
SEN01,Av. Regional,Troncal,2025-03-01 00:00:00,15.0,25.3,Soleado,6.23148,-75.58964,0,False
SEN01,Av. Regional,Troncal,2025-03-01 02:00:00,14.0,26.8,Soleado,6.22994,-75.59105,2,False
SEN01,Av. Regional,Troncal,2025-03-01 04:00:00,9.0,23.8,Soleado,6.23109,-75.5906,4,False
SEN01,Av. Regional,Troncal,2025-03-01 06:00:00,43.0,22.5,Soleado,6.2314,-75.59091,6,False
SEN01,Av. Regional,Troncal,2025-03-01 08:00:00,42.0,21.2,Lluvia,6.23179,-75.59126,8,False
SEN01,Av. Regional,Troncal,2025-03-01 10:00:00,25.0,21.8,Nublado,6.23136,-75.59033,10,False
SEN01,Av. Regional,Troncal,2025-03-01 12:00:00,25.0,23.6,Soleado,6.22999,-75.59141,12,False
SEN01,Av. Regional,Troncal,2025-03-01 14:00:00,27.0,21.2,Lluvia,6.23064,-75.58986,14,False
SEN01,Av. Regional,Troncal,2025-03-01 16:00:00,51.0,21.5,Soleado,6.23153,-75.59112,16,False
SEN01,Av. Regional,Troncal,2025-03-01 18:00:00,47.0,28.6,Nublado,6.23142,-75.58988,18,False
SEN01,Av. Regional,Troncal,2025-03-01 20:00:00,16.0,23.5,Soleado,6.23058,-75.59045,20,False
SEN01,Av. Regional,Troncal,2025-03-01 22:00:00,17.0,25.2,Soleado,6.23096,-75.58981,22,False
SEN01,Av. Regional,Troncal,2025-03-02 00:00:00,19.0,27.3,Lluvia,6.23094,-75.59144,0,False
SEN01,Av. Regional,Troncal,2025-03-02 02:00:00,23.0,19.0,Soleado,6.2308,-75.59114,2,False
SEN01,Av. Regional,Troncal,2025-03-02 04:00:00,12.0,21.3,Soleado,6.22981,-75.58974,4,False
SEN01,Av. Regional,Troncal,2025-03-02 06:00:00,35.0,22.7,Nublado,6.23007,-75.59047,6,False
SEN01,Av. Regional,Troncal,2025-03-02 08:00:00,37.0,22.84602510460251,Soleado,6.2305,-75.59029,8,False
SEN01,Av. Regional,Troncal,2025-03-02 10:00:00,12.0,27.0,Soleado,6.23057,-75.59143,10,False
SEN01,Av. Regional,Troncal,2025-03-02 12:00:00,23.0,20.3,Soleado,6.23026,-75.58975,12,False
SEN01,Av. Regional,Troncal,2025-03-02 14:00:00,18.0,26.7,Lluvia,6.23085,-75.59035,14,False
SEN01,Av. Regional,Troncal,2025-03-02 16:00:00,35.0,22.8,Soleado,6.23067,-75.59033,16,False
SEN01,Av. Regional,Troncal,2025-03-02 18:00:00,38.0,20.7,Nublado,6.22983,-75.59056,18,False
SEN01,Av. Regional,Troncal,2025-03-02 20:00:00,11.0,23.9,Soleado,6.23103,-75.591,20,False
SEN01,Av. Regional,Troncal,2025-03-02 22:00:00,13.0,25.3,Soleado,6.23173,-75.5897,22,False
SEN01,Av. Regional,Troncal,2025-03-03 00:00:00,11.0,24.7,Soleado,6.23098,-75.59033,0,False
SEN01,Av. Regional,Troncal,2025-03-03 02:00:00,12.0,17.6,Soleado,6.23117,-75.59157,2,False
SEN01,Av. Regional,Troncal,2025-03-03 04:00:00,19.0,24.7,Soleado,6.23155,-75.59024,4,False
