sensor_id,ubicacion,tipo_via,timestamp,conteo_vehiculos,temperatura_c,condicion_clima,lat,lon
SEN03,Calle 10,Local,2025-03-09 16:00:00,31.0,20.7,Soleado,6.20995,-75.57081
SEN06,Circular 4ta,Local,2025-03-14 12:00:00,24.0,24.4,Soleado,6.24465,-75.58474
SEN04,Autopista Norte,Troncal,2025-03-07 08:00:00,,19.6,Soleado,-75.56538,6.28615
SEN01,Av. Regional,Troncal,2025-03-13 04:00:00,16.0,26.3,Soleado,6.23099,-75.58968
SEN06,Circular 4ta,Local,2025-03-19 12:00:00,22.0,25.3,Nublado,6.24469,-75.58568
SEN05,Av. Oriental,Arteria,2025-03-20 00:00:00,11.0,21.4,Nublado,6.24624,-75.56483
SEN03,Calle 10,Local,2025-03-19 06:00:00,,25.5,Soleado,6.21024,-75.57
SEN01,Av. Regional,Troncal,2025-03-09 06:00:00,38.0,20.1,Soleado,6.23113,-75.59081
SEN06,Circular 4ta,Local,2025-03-10 18:00:00,39.0,23.4,Soleado,6.24508,-75.58456
SEN01,Av. Regional,Troncal,2025-03-08 08:00:00,44.0,22.2,Soleado,6.23114,-75.59132
SEN03,Calle 10,Local,2025-03-01 10:00:00,16.0,22.1,Sol,6.21006,-75.57053
SEN04,Autopista Norte,Troncal,2025-03-05 16:00:00,51.0,20.9,Soleado,-75.5655,6.28557
SEN04,Autopista Norte,Troncal,2025-03-05 08:00:00,42.0,18.5,Soleado,-75.56564,6.28556
SEN06,Circular 4ta,Local,2025-03-05 22:00:00,16.0,24.1,Nublado,6.24423,-75.58448
SEN01,Av. Regional,Troncal,2025-03-11 10:00:00,26.0,20.0,Soleado,6.2304,-75.58978
SEN03,Calle 10,Local,2025-03-05 18:00:00,29.0,26.4,Nublado,6.20921,-75.57181
SEN01,Av. Regional,Troncal,2025-03-08 04:00:00,,22.6,Soleado,6.23169,-75.59149
SEN06,Circular 4ta,Local,2025-03-17 06:00:00,40.0,17.5,Lluvia,6.24408,-75.58584
SEN02,Av. 33,Arteria,2025-03-13 16:00:00,42.0,19.2,Soleado,6.2146,-75.57392
SEN02,Av. 33,Arteria,2025-03-10 00:00:00,13.0,26.8,Lluvia,6.21402,-75.57394
SEN03,Calle 10,Local,2025-03-07 12:00:00,19.0,,Nublado,6.21026,-75.5707
SEN02,Av. 33,Arteria,2025-03-09 10:00:00,16.0,22.1,Soleado,6.21443,-75.57318
