sensor_id,ubicacion,tipo_via,timestamp,conteo_vehiculos,temperatura_c,condicion_clima,lat,lon
SEN01,Av. Regional,Troncal,2025-03-01 00:00:00,10,25.3,Soleado,6.23148,-75.58964
SEN01,Av. Regional,Troncal,2025-03-01 02:00:00,14,26.8,Soleado,6.22994,-75.59105
SEN01,Av. Regional,Troncal,2025-03-01 04:00:00,9,23.8,Soleado,6.23109,-75.5906
SEN01,Av. Regional,Troncal,2025-03-01 06:00:00,43,22.5,Soleado,6.2314,-75.59091
SEN01,Av. Regional,Troncal,2025-03-01 08:00:00,42,21.2,Lluvia,6.23179,-75.59126
SEN01,Av. Regional,Troncal,2025-03-01 10:00:00,25,21.8,Nublado,6.23136,-75.59033
SEN01,Av. Regional,Troncal,2025-03-01 12:00:00,25,23.6,Soleado,6.22999,-75.59141
SEN01,Av. Regional,Troncal,2025-03-01 14:00:00,27,21.2,Lluvia,6.23064,-75.58986
SEN01,Av. Regional,Troncal,2025-03-01 16:00:00,51,21.5,Soleado,6.23153,-75.59112
SEN01,Av. Regional,Troncal,2025-03-01 18:00:00,47,28.6,Nublado,6.23142,-75.58988
SEN01,Av. Regional,Troncal,2025-03-01 20:00:00,16,23.5,Soleado,6.23058,-75.59045
SEN01,Av. Regional,Troncal,2025-03-01 22:00:00,17,25.2,Soleado,6.23096,-75.58981
SEN01,Av. Regional,Troncal,2025-03-02 00:00:00,19,27.3,Lluvia,6.23094,-75.59144
SEN01,Av. Regional,Troncal,2025-03-02 02:00:00,23,19.0,Soleado,6.2308,-75.59114
SEN01,Av. Regional,Troncal,2025-03-02 04:00:00,12,21.3,Soleado,6.22981,-75.58974
SEN01,Av. Regional,Troncal,2025-03-02 06:00:00,35,22.7,Nublado,6.23007,-75.59047
SEN01,Av. Regional,Troncal,2025-03-02 08:00:00,37,24.3,Soleado,6.2305,-75.59029
SEN01,Av. Regional,Troncal,2025-03-02 10:00:00,12,27.0,Soleado,6.23057,-75.59143
SEN01,Av. Regional,Troncal,2025-03-02 12:00:00,23,20.3,Soleado,6.23026,-75.58975
SEN01,Av. Regional,Troncal,2025-03-02 14:00:00,18,26.7,Lluvia,6.23085,-75.59035
SEN01,Av. Regional,Troncal,2025-03-02 16:00:00,35,22.8,Soleado,6.23067,-75.59033
SEN01,Av. Regional,Troncal,2025-03-02 18:00:00,38,20.7,Nublado,6.22983,-75.59056
SEN01,Av. Regional,Troncal,2025-03-02 20:00:00,11,23.9,Soleado,6.23103,-75.591
SEN01,Av. Regional,Troncal,2025-03-02 22:00:00,13,25.3,Soleado,6.23173,-75.5897
SEN01,Av. Regional,Troncal,2025-03-03 00:00:00,11,24.7,Soleado,6.23098,-75.59033
SEN01,Av. Regional,Troncal,2025-03-03 02:00:00,12,17.6,Soleado,6.23117,-75.59157
SEN01,Av. Regional,Troncal,2025-03-03 04:00:00,19,24.7,Soleado,6.23155,-75.59024
SEN01,Av. Regional,Troncal,2025-03-03 06:00:00,47,20.6,Soleado,6.23004,-75.59075
SEN01,Av. Regional,Troncal,2025-03-03 08:00:00,44,24.7,Soleado,6.23056,-75.59112
SEN01,Av. Regional,Troncal,2025-03-03 10:00:00,11,22.0,Nublado,6.23,-75.59031
SEN01,Av. Regional,Troncal,2025-03-03 12:00:00,13,23.1,Nublado,6.22996,-75.5915
SEN01,Av. Regional,Troncal,2025-03-03 14:00:00,16,23.0,Nublado,6.23068,-75.58981
SEN01,Av. Regional,Troncal,2025-03-03 16:00:00,36,22.0,Nublado,6.23017,-75.58993
SEN01,Av. Regional,Troncal,2025-03-03 18:00:00,36,25.4,Nublado,6.23145,-75.59027
SEN01,Av. Regional,Troncal,2025-03-03 20:00:00,7,23.9,Lluvia,6.23062,-75.58991
SEN01,Av. Regional,Troncal,2025-03-03 22:00:00,17,23.7,Lluvia,6.23159,-75.59119
SEN01,Av. Regional,Troncal,2025-03-04 00:00:00,19,21.0,Soleado,6.23069,-75.59115
SEN01,Av. Regional,Troncal,2025-03-04 02:00:00,14,22.5,Soleado,6.23154,-75.59068
SEN01,Av. Regional,Troncal,2025-03-04 04:00:00,8,19.0,Soleado,6.23045,-75.59123
SEN01,Av. Regional,Troncal,2025-03-04 06:00:00,52,20.4,Soleado,6.23069,-75.59159
SEN01,Av. Regional,Troncal,2025-03-04 08:00:00,41,20.5,Nublado,6.23098,-75.59095
SEN01,Av. Regional,Troncal,2025-03-04 10:00:00,18,27.6,Soleado,6.23095,-75.59112
SEN01,Av. Regional,Troncal,2025-03-04 12:00:00,16,17.2,Nublado,6.2305,-75.59072
SEN01,Av. Regional,Troncal,2025-03-04 14:00:00,2,23.9,Nublado,6.23137,-75.58998
SEN01,Av. Regional,Troncal,2025-03-04 16:00:00,41,20.9,Soleado,6.22985,-75.59028
SEN01,Av. Regional,Troncal,2025-03-04 18:00:00,50,23.3,Soleado,6.23122,-75.59123
SEN01,Av. Regional,Troncal,2025-03-04 20:00:00,16,16.8,Nublado,6.23124,-75.59111
